Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Color
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,Petrol,97,Black
62,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,Petrol,110,Red
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,Petrol,110,Blue
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,Petrol,110,Blue
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,Petrol,97,Black
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,Petrol,110,Blue
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,Petrol,110,Black
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,Petrol,97,Grey
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,30000,Diesel,110,Grey
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,Petrol,97,Black
71,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,Petrol,97,Grey
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,Petrol,97,Grey
73,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,Petrol,110,Grey
74,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,Petrol,97,Grey
75,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,Petrol,110,Black
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,Petrol,110,Grey
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,Petrol,110,Grey
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,Petrol,110,Silver
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,Petrol,110,Grey
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,Petrol,97,Grey
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,Petrol,110,Blue
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,Petrol,110,Grey
83,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,Petrol,97,Grey
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,Petrol,110,Blue
85,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,Petrol,97,Grey
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,Petrol,110,Grey
87,?TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,Petrol,97,Silver
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,66966,Diesel,90,Blue
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,Petrol,97,Grey
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,50005,Diesel,110,Grey
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,Petrol,97,Black
92,?TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,37500,Diesel,90,Black
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,34472,Diesel,90,Grey
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,Petrol,97,Grey
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,Petrol,110,Black
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,30351,Diesel,90,Blue
97,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,Petrol,97,Black
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,Petrol,97,Blue
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,Petrol,110,Blue
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,Petrol,97,Grey
101,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,Petrol,110,Grey
102,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,Petrol,97,Blue
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,Petrol,71,Grey
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,Petrol,110,Grey
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,Petrol,110,Blue
106,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,Petrol,97,Green
107,?TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,Petrol,110,Blue
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,Petrol,97,Grey
109,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,Petrol,110,Blue
111,?TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,1,Diesel,116,Grey
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,Diesel,116,Grey
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,1500,Diesel,116,Grey
114,?TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,Diesel,116,Grey
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,Diesel,116,Grey
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,10000,Diesel,116,Silver
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,6000,Diesel,90,Grey
118,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,10841,Diesel,90,Grey
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,Petrol,110,Grey
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,63000,Diesel,90,Blue
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,57313,Diesel,110,Blue
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,Petrol,110,Silver
123,?TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,Diesel,90,Silver
124,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,Petrol,110,Black
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,Petrol,110,Blue
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,Petrol,110,Red
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,Petrol,110,Black
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,Petrol,110,Blue
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,Petrol,97,Blue
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,Petrol,97,Blue
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,Petrol,110,Black
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,Petrol,97,Grey
133,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,Petrol,97,Blue
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,Petrol,97,Blue
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,Petrol,110,Black
136,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,Petrol,97,Blue
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,Petrol,97,Grey
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,Petrol,97,Black
139,?TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,Petrol,110,Black
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,25000,Diesel,116,Grey
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,Petrol,110,Blue
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,Petrol,97,Silver
143,?TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,Petrol,192,Silver
144,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,Petrol,110,Black
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,Petrol,110,Grey
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,Petrol,110,Blue
147,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,Petrol,97,Black
148,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,Petrol,110,Blue
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,Petrol,110,Grey
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,Petrol,110,Grey
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,Petrol,110,Silver
152,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,Petrol,97,Grey
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,Petrol,110,Black
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,Petrol,97,Black
155,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,Petrol,110,Silver
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,Petrol,110,Black
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,Petrol,97,Blue
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,Petrol,110,Grey
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,Petrol,110,Blue
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,Petrol,110,Grey
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,Petrol,110,Grey
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,Petrol,110,Blue
163,?TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,Petrol,110,Silver
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,Petrol,110,Silver
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,Petrol,110,Silver
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,Petrol,97,Blue
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,Petrol,110,Blue
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,Petrol,110,Grey
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,Petrol,110,Silver
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,Petrol,110,Black
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,Petrol,98,Silver
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,Petrol,110,Grey
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,Petrol,110,Blue
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,Petrol,97,Black
175,?TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,Petrol,97,Grey
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,Petrol,110,Silver
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,Petrol,110,Black
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,Petrol,110,Grey
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,Petrol,110,Grey
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,Petrol,110,Grey
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,Petrol,110,Black
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,Petrol,110,Red
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,Petrol,97,Grey
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,Petrol,97,Blue
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,Petrol,110,Blue
186,?TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,Petrol,98,Grey
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,Petrol,110,Grey
188,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,243000,Diesel,69,White
189,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,180638,Diesel,90,Red
190,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,179860,Diesel,90,Blue
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,178858,CNG,110,White
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,161000,Diesel,69,Grey
193,TOYOTA Corolla 1.8D Stationwagen,4350,44,158320,Diesel,69,White
194,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,131273,Diesel,69,Silver
195,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,130062,Diesel,69,Red
196,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,123425,Diesel,69,Blue
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,Petrol,110,Red
198,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,110000,Diesel,69,Silver
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,108847,Diesel,90,Blue
200,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,Petrol,97,Grey
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,39,98823,CNG,110,Blue
202,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,96829,Petrol,110,Red
203,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,96518,Petrol,97,Red
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,92204,Petrol,110,Grey
205,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10450,35,91456,Diesel,69,Red
206,TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,12950,43,89968,Diesel,69,Green
207,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,89757,Petrol,110,Black
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,85389,Petrol,110,Silver
209,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,85017,Petrol,97,Red
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,84312,Petrol,110,Grey
211,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,37,82743,CNG,110,Green
212,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,81106,Diesel,69,Black
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,80425,Diesel,90,Grey
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,78677,Petrol,110,Blue
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,78425,Petrol,110,Blue
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,78108,Diesel,90,Grey
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,Petrol,110,Grey
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,75699,Diesel,69,Green
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,75697,Petrol,97,Silver
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,74846,Petrol,97,Black
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,74319,Petrol,110,Black
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,74285,Petrol,110,Blue
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,74172,Petrol,110,Black
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,73042,Petrol,110,Blue
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,71793,CNG,110,Red
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,71200,Petrol,110,Green
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,67805,Petrol,110,Blue
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,65988,Petrol,110,Blue
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,65345,Petrol,97,Red
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,64564,Petrol,110,Silver
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,63459,Petrol,97,Green
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,63451,Petrol,97,Black
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,62000,Petrol,110,Green
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,61300,Petrol,97,Blue
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,61200,Petrol,110,Blue
